song_name,song_popularity
"""40"" - Live Version 1983",1.0
"""Heroes"" - Single Version; 2014 Remastered Version",58.0
$orries,62.0
& Down,0.0
&burn (with Vince Staples),28.0
'Till I Collapse,85.0
(Don't Fear) The Reaper,47.5
(I Can’t Get No) Satisfaction - Mono / Remastered,23.0
(I've Had) The Time of My Life,42.0
(Let Me Be Your) Teddy Bear,38.0
(Margie's At) The Lincoln Park Inn,33.0
(No One Knows Me) Like the Piano,43.0
(Sittin' On) The Dock Of The Bay,64.0
(That's What You Get) For Lovin' Me,37.0
(There's Gotta Be) More To Life,56.0
(We Ain't Got) Nothin' Yet,7.0
(We're Gonna) Rock Around The Clock - Single Version,55.0
(What A) Wonderful World,71.0
(What A) Wonderful World - Remastered,31.0
(You Make Me Feel Like) A Natural Woman,66.5
(Your Love Keeps Lifting Me) Higher & Higher,73.0
+1 (feat. Sam White) - Radio Edit,12.0
"+3 (feat. DJ Rashad, DJ Paypal & Nasty Nigel)",0.0
...Baby One More Time,78.0
...Familiar Place,62.0
...Ready For It? - BloodPop® Remix,60.0
00 (DOUBLE O),43.0
003,59.0
079ME,76.0
079ME (Blinkie Remix),54.0
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88.0
"1, 2, 3!",67.0
1-800-273-8255,66.5
10 2 10,26.0
100 Miles and Running (ft. Wale & John Lindahl),78.0
100 Shots,67.0
100% (feat. Tony Sunshine),38.0
1000 (feat. T.I. & Trey Songz),41.0
1000hp,54.0
101,53.0
1017 (feat. Gucci Mane & Yung Mal),36.0
10:15 Saturday Night,37.0
11 Hours - Branchez Remix,69.0
123,67.0
1234,15.0
1412,50.0
1435,0.0
151 Rum,77.0
16 Candles,41.0
16 Days,36.0
17,76.0
17 - 6am Remix,65.0
18,53.0
18 And Life,60.0
19 You + Me - Live Acoustic Bonus Track,51.0
1901,67.33333333333333
193rd St.,35.0
1942,65.0
1950,80.16666666666667
1952 Vincent Black Lightning,55.0
1957,63.0
1960 What?,22.0
1975,49.0
1977,42.0
1979,36.5
1979 - Remastered 2012,61.5
1983,51.0
1985,65.5
1985 - Intro to “The Fall Off”,75.0
1999,81.0
1999 WILDFIRE,75.0
1Take (Naija to London),64.0
1Xtra,17.0
1am,77.0
1luv,15.0
2 AM,57.0
2 MUCH (feat. 24hrs) (feat. 24hrs),67.0
2 Seater (feat. Quavo & 21 Savage),72.0
2 The Hard Way,38.0
2 Tone Drip,72.0
2 Vaults (feat. Lil Yachty),71.0
2-4-6-8 Motorway,50.0
2002,85.66666666666667
2002 - KREAM Remix,59.0
20th Century Boy - 2012 Remaster,49.0
21,54.0
2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,53.0
24 Hour Party People,5.0
24/7,61.0
24K Magic,76.5
25 Soldiers,54.0
2Sum,40.0
3 Nights,40.0
3 x 11,43.0
33 “GOD”,64.0
3:15,76.0
3PM Coffee,31.0
4 1 Nite,45.0
4 Days,62.0
4 Gold Chains - (feat. Clams Casino),69.0
4 Lit,53.0
4 Minutes (feat. Justin Timberlake & Timbaland),72.0
4 [bump],53.0
40K,70.0
435,67.0
44 More,27.0
47 - Remix,70.0
4:21 (Con María),18.0
4AM In London,38.0
4EVER,71.0
4am,51.0
4r Da Squaw,68.0
5 Years Time,59.0
500 Miles Away from Home,47.0
6 'N The Mornin',47.0
6 Beers,47.0
6 Degrees (feat. Fiora) - Tale Of Us Remix,17.0
6 Underground,55.0
6:30,74.0
6am,53.0
6ix Flags,44.0
7 Am Freestyle,0.0
7 Days,73.0
7 Inches,35.0
7 Years,21.0
7/11,75.0
70s,49.0
745,64.0
7th Inning Stretch,43.0
8 Letters,72.0
8 Letters - R3HAB Remix,56.0
8 Out Of 10,58.0
808,49.0
86 (feat. Cuban Doll & ALLBLACK),46.0
9 Times Out Of 10,41.0
9 to 5,68.0
9.13,26.0
90's Country,70.0
90s Better,50.0
91's,78.0
911,56.0
93 'Til Infinity,67.0
96 Tears,30.0
97,54.0
98,46.0
99 Luftballons,65.0
99 Pace,23.0
99 Problems,35.0
9Am,46.0
9mm Goes Bang,45.0
A Boy Named Sue - Live Version,47.0
A Catalogue Of Afternoons,72.0
A Change Is Gonna Come,65.0
A Change Is Gonna Come - Recorded At Spotify Studios NYC,50.0
A Clear Mind,68.0
A Crime To Remember,61.0
A Day In The Life - Remastered,27.0
A Design for Life - Remastered,59.0
A Dream of You and Me,58.0
A Drip Like This,43.0
A Drop In The Ocean,52.0
A Fool In Love,43.0
A Forest,60.0
A Forgotten Spot (Olvidado),57.0
A Gangster's Wife,37.0
A Good Night,73.0
A Horse with No Name,77.0
A Letter to My Younger Self,58.0
A Little Bit Dangerous,33.0
A Little Less Talk And A Lot More Action,50.0
A Little More,48.666666666666664
A Little Respect - 2009 Remastered Version,70.0
A Long December,59.0
A Message to You and Myself,49.0
A Milli,77.0
A Million,48.0
A Million Lights,50.0
A Minha Menina,39.0
A New England,53.0
A Painting in Paris,54.0
"A Petal Here, a Petal There",50.0
A Reality,39.0
A Satisfied Mind,28.0
A Shitty Love Song,54.0
A Shot In The Arm,47.0
A Simple Song,62.0
A Six Pack To Go,32.0
A Sky Full of Flowers,63.0
A Sky Full of Stars,63.0
A Song With No Name,62.0
A Teenager In Love,62.0
A Thousand Miles,48.5
A Thousand Miles (Live Acoustic),24.0
A Thousand Miles - Single Version,24.0
A Time of Wonder,69.0
A Trigger Full of Promises,47.0
A White Sport Coat (with Ray Conniff),33.0
A Whiter Shade Of Pale,67.0
A Woman Like You,64.0
A donde va el amor,34.0
A to Z,47.0
A-Punk,69.0
A-YO,23.0
ABC,65.66666666666667
ABCD (Friend Zone),67.0
ADORABLE,45.0
AFRO TRAP Part.7 (La Puissance) - Major Lazer Remix,0.0
AFTERPRTY,36.0
AGEN WIDA,33.0
AKWAABA,58.0
AMERICAN GODS,43.0
AND WHAT,57.0
APES**T,52.0
APESHIT,78.0
ATA,65.0
ATLiens,66.0
ATM,77.0
Aahhyeahh,67.0
Aalam E Yekrangee,37.0
Aashianeh,19.0
Ab Ovo,23.0
Abalone Cove,42.0
Abel,50.0
Abilene,39.0
Abisko,63.0
Above And Beyond,39.0
Above The Clouds - Feat. Inspectah Deck,60.0
Above The Law,3.0
Above the Clouds,55.0
Abrázame Muy Fuerte,71.0
Absent Ones,35.0
Absolute Zero,53.5
Absolute in Doubt,69.0
Absolutely (Story of a Girl) - Radio Mix,68.0
Abu Debe,58.0
Abusadora,57.0
Abyss,41.0
Access,24.0
Accusations,62.0
Ace,66.0
Ace of Spades,74.0
Achoo,50.0
Acoustic,31.0
Across The Universe - Remastered 2009,66.0
Across The Universe - Sleep version,30.0
Act My Age,61.0
Act Naturally,55.0
Act a Fool (feat. Bok Nero),47.0
Actin' Different,33.0
Actor,44.0
Acuerdate de Mi,21.0
Acángana,48.0
Add To Me - Recorded At Spotify Studios NYC,50.0
Addicted To Ballin' (feat. ScHoolboy Q),54.0
Addicted To Love,65.0
Addicted To That Rush,4.0
Addictive,18.0
Adding Up,59.333333333333336
Adele,53.0
Adia,56.0
Adieu bientôt,72.0
"Adieu, Pt. II",56.0
Adios Adios Amor,30.0
Adore - Piano Unplugged,53.0
Adorn,57.0
Adrian,64.0
Adriatic,35.0
Adult Nightmares,41.0
Aerolínea Carrillo,81.0
Aeroplane,24.0
Afraid,62.0
Afraid of Heights,39.0
Africa,71.66666666666667
Afro Mambo,29.0
Afro Shingaling,26.0
Afrodisia,7.0
After All,55.0
After Dark,56.0
After Rain,21.0
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",69.33333333333333
After the Moment,61.0
Aftergold (feat. Tove Styrke),59.0
Against All Odds (Take A Look At Me Now) - 2016 Remastered,72.0
Age Ye Rooz,43.0
Agua,36.0
Agua De Beber,46.0
Aguanile,63.0
Aguzate,48.0
Ah Blem Blem,43.0
Ah!Dor! - Boss In Drama Remix,42.0
"Ah, It's a Love Song",32.0
Ahead Of Myself,67.0
Ahla Haga Feeki - DJ Mix,35.0
Ahora Qué Hago Sin Ti,45.0
Ahora Te Puedes Marchar,80.0
Ai No Chiara (The Power Of Love),46.0
Ain't Easy - THE LAUNCH,55.0
Ain't My Fault - R3hab Remix,64.0
Ain't No Angel,52.0
Ain't No Easy Way,43.0
Ain't No Half-Steppin',57.0
Ain't No Man,62.0
Ain't No Mountain High Enough,41.0
Ain't No Mountain High Enough - Stereo Version,30.0
Ain't No Rest For The Wicked - Original Version,72.0
Ain't No Rest for the Wicked,73.0
Ain't No Sunshine,77.0
Ain't That Lonely Yet - Remastered,44.0
Ain't That Why - Skytech Remix,64.0
Ain't Too Proud To Beg,22.0
Ain't You,41.0
