song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
"""40"" - Live Version 1983",1.0,225440.0,0.109,0.257,0.472,0.000945,8.0,0.8290000000000001,-16.259,1.0,0.0399,143.517,4.0,0.286
"""Heroes"" - Single Version; 2014 Remastered Version",58.0,213813.0,0.016,0.502,0.6809999999999999,0.107,7.0,0.102,-8.263,1.0,0.0276,112.16,4.0,0.584
$orries,62.0,214857.0,0.7609999999999999,0.526,0.236,0.00387,2.0,0.126,-13.59,0.0,0.0955,103.401,4.0,0.299
& Down,0.0,258133.0,0.0473,0.619,0.629,0.227,1.0,0.314,-4.109,0.0,0.33,123.003,4.0,0.262
&burn (with Vince Staples),28.0,179015.0,0.194,0.787,0.379,0.00131,9.0,0.099,-9.364,0.0,0.245,82.52,4.0,0.344
'Till I Collapse,85.0,297893.0,0.0757,0.5720000000000001,0.853,0.0,1.0,0.0798,-3.2030000000000003,1.0,0.217,171.297,4.0,0.102
(Don't Fear) The Reaper,47.5,308280.0,0.002075,0.35050000000000003,0.9275,0.0006605000000000001,9.0,0.299,-8.4595,0.0,0.0663,141.3225,4.0,0.457
(I Can’t Get No) Satisfaction - Mono / Remastered,23.0,223440.0,0.0365,0.726,0.8809999999999999,0.0352,2.0,0.172,-6.971,1.0,0.0332,136.327,4.0,0.926
(I've Had) The Time of My Life,42.0,289373.0,0.0675,0.6985,0.723,0.0050349999999999995,6.0,0.0693,-10.581,0.0,0.045950000000000005,108.615,4.0,0.435
(Let Me Be Your) Teddy Bear,38.0,107186.0,0.83,0.628,0.399,0.0,0.0,0.353,-12.447,1.0,0.18,87.807,4.0,0.924
(Margie's At) The Lincoln Park Inn,33.0,198733.0,0.7240000000000001,0.364,0.318,0.000234,2.0,0.151,-13.345,1.0,0.0308,131.155,3.0,0.525
(No One Knows Me) Like the Piano,43.0,218160.0,0.976,0.62,0.1985,0.001885,10.0,0.1055,-13.798,1.0,0.0344,128.9515,4.0,0.1785
(Sittin' On) The Dock Of The Bay,64.0,166826.0,0.726,0.486,0.312,1.59e-06,2.0,0.0601,-13.522,1.0,0.0533,205.917,4.0,0.598
(That's What You Get) For Lovin' Me,37.0,146133.0,0.664,0.608,0.684,2.94e-06,4.0,0.0897,-9.806,1.0,0.0419,89.074,4.0,0.873
(There's Gotta Be) More To Life,56.0,200016.0,0.0917,0.58,0.922,0.0,1.0,0.189,-3.785,1.0,0.0958,89.84100000000002,4.0,0.649
(We Ain't Got) Nothin' Yet,7.0,134853.0,0.119,0.41,0.904,4.61e-05,0.0,0.078,-7.98,0.0,0.0537,148.597,4.0,0.8320000000000001
(We're Gonna) Rock Around The Clock - Single Version,55.0,134106.0,0.317,0.6809999999999999,0.69,0.00018,7.0,0.24,-11.519,1.0,0.18,178.71,4.0,0.622
(What A) Wonderful World,71.0,125440.0,0.627,0.691,0.507,0.0,11.0,0.457,-10.23,1.0,0.0343,128.518,4.0,0.885
(What A) Wonderful World - Remastered,31.0,125506.0,0.7340000000000001,0.524,0.5429999999999999,0.0,11.0,0.275,-9.889,1.0,0.0397,128.091,4.0,0.877
(You Make Me Feel Like) A Natural Woman,66.5,197939.0,0.583,0.637,0.24049999999999994,0.000675,4.5,0.1495,-10.878499999999999,1.0,0.0286,98.227,3.0,0.2895
(Your Love Keeps Lifting Me) Higher & Higher,73.0,181066.0,0.176,0.631,0.69,0.0,2.0,0.121,-6.676,1.0,0.0531,94.574,4.0,0.938
+1 (feat. Sam White) - Radio Edit,12.0,193280.0,0.113,0.767,0.807,0.0169,11.0,0.1,-3.824,0.0,0.0369,124.944,4.0,0.716
"+3 (feat. DJ Rashad, DJ Paypal & Nasty Nigel)",0.0,212546.0,0.0494,0.44,0.69,0.267,11.0,0.189,-7.4929999999999986,0.0,0.121,160.043,4.0,0.358
...Baby One More Time,78.0,211066.0,0.202,0.759,0.6990000000000001,0.000131,0.0,0.443,-5.745,0.0,0.0307,92.96,4.0,0.907
...Familiar Place,62.0,175777.0,0.0128,0.214,0.148,0.058,7.0,0.113,-17.775,1.0,0.037,46.591,4.0,0.0277
...Ready For It? - BloodPop® Remix,60.0,189508.0,0.111,0.581,0.8390000000000001,0.0,7.0,0.104,-4.843,1.0,0.229,160.12,4.0,0.447
00 (DOUBLE O),43.0,163279.0,0.0812,0.904,0.711,0.0,6.0,0.0842,-5.426,0.0,0.315,90.456,4.0,0.472
003,59.0,139521.0,0.875,0.7090000000000001,0.293,0.0454,1.0,0.103,-11.215,1.0,0.241,84.971,4.0,0.383
079ME,76.0,211852.0,0.404,0.629,0.601,0.0,10.0,0.0582,-7.507999999999999,0.0,0.309,199.921,4.0,0.612
079ME (Blinkie Remix),54.0,228240.0,0.38,0.745,0.853,0.0,10.0,0.261,-3.906,0.0,0.245,119.862,4.0,0.732
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88.0,201526.0,0.165,0.792,0.895,0.0,1.0,0.0501,-3.112,0.0,0.0589,94.968,4.0,0.794
"1, 2, 3!",67.0,205304.0,0.00396,0.687,0.805,2.09e-06,6.0,0.12,-4.668,1.0,0.0403,142.03799999999995,4.0,0.7120000000000001
