,song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
0,"""40"" - Live Version 1983",1.0,225440.0,0.109,0.257,0.472,0.000945,8.0,0.8290000000000001,-16.259,1.0,0.0399,143.517,4.0,0.286
1,"""Heroes"" - Single Version; 2014 Remastered Version",58.0,213813.0,0.016,0.502,0.6809999999999999,0.107,7.0,0.102,-8.263,1.0,0.0276,112.16,4.0,0.584
2,$orries,62.0,214857.0,0.7609999999999999,0.526,0.236,0.00387,2.0,0.126,-13.59,0.0,0.0955,103.401,4.0,0.299
3,& Down,0.0,258133.0,0.0473,0.619,0.629,0.227,1.0,0.314,-4.109,0.0,0.33,123.003,4.0,0.262
4,&burn (with Vince Staples),28.0,179015.0,0.194,0.787,0.379,0.00131,9.0,0.099,-9.364,0.0,0.245,82.52,4.0,0.344
7,(I Can’t Get No) Satisfaction - Mono / Remastered,23.0,223440.0,0.0365,0.726,0.8809999999999999,0.0352,2.0,0.172,-6.971,1.0,0.0332,136.327,4.0,0.926
8,(I've Had) The Time of My Life,42.0,289373.0,0.0675,0.6985,0.723,0.0050349999999999,6.0,0.0693,-10.581,0.0,0.04595,108.615,4.0,0.435
9,(Let Me Be Your) Teddy Bear,38.0,107186.0,0.83,0.628,0.399,0.0,0.0,0.353,-12.447,1.0,0.18,87.807,4.0,0.924
10,(Margie's At) The Lincoln Park Inn,33.0,198733.0,0.7240000000000001,0.364,0.318,0.000234,2.0,0.151,-13.345,1.0,0.0308,131.155,3.0,0.525
11,(No One Knows Me) Like the Piano,43.0,218160.0,0.976,0.62,0.1985,0.001885,10.0,0.1055,-13.798,1.0,0.0344,128.9515,4.0,0.1785
12,(Sittin' On) The Dock Of The Bay,64.0,166826.0,0.726,0.486,0.312,1.59e-06,2.0,0.0601,-13.522,1.0,0.0533,205.917,4.0,0.598
13,(That's What You Get) For Lovin' Me,37.0,146133.0,0.664,0.608,0.684,2.94e-06,4.0,0.0897,-9.806,1.0,0.0419,89.074,4.0,0.873
14,(There's Gotta Be) More To Life,56.0,200016.0,0.0917,0.58,0.922,0.0,1.0,0.189,-3.785,1.0,0.0958,89.84100000000002,4.0,0.649
15,(We Ain't Got) Nothin' Yet,7.0,134853.0,0.119,0.41,0.904,4.61e-05,0.0,0.078,-7.98,0.0,0.0537,148.597,4.0,0.8320000000000001
16,(We're Gonna) Rock Around The Clock - Single Version,55.0,134106.0,0.317,0.6809999999999999,0.69,0.00018,7.0,0.24,-11.519,1.0,0.18,178.71,4.0,0.622
18,(What A) Wonderful World - Remastered,31.0,125506.0,0.7340000000000001,0.524,0.5429999999999999,0.0,11.0,0.275,-9.889,1.0,0.0397,128.091,4.0,0.877
19,(You Make Me Feel Like) A Natural Woman,66.5,197939.0,0.583,0.637,0.2404999999999999,0.000675,4.5,0.1495,-10.8785,1.0,0.0286,98.227,3.0,0.2895
20,(Your Love Keeps Lifting Me) Higher & Higher,73.0,181066.0,0.176,0.631,0.69,0.0,2.0,0.121,-6.676,1.0,0.0531,94.574,4.0,0.938
21,+1 (feat. Sam White) - Radio Edit,12.0,193280.0,0.113,0.767,0.807,0.0169,11.0,0.1,-3.824,0.0,0.0369,124.944,4.0,0.716
22,"+3 (feat. DJ Rashad, DJ Paypal & Nasty Nigel)",0.0,212546.0,0.0494,0.44,0.69,0.267,11.0,0.189,-7.4929999999999986,0.0,0.121,160.043,4.0,0.358
23,...Baby One More Time,78.0,211066.0,0.202,0.759,0.6990000000000001,0.000131,0.0,0.443,-5.745,0.0,0.0307,92.96,4.0,0.907
24,...Familiar Place,62.0,175777.0,0.0128,0.214,0.148,0.058,7.0,0.113,-17.775,1.0,0.037,46.591,4.0,0.0277
25,...Ready For It? - BloodPop® Remix,60.0,189508.0,0.111,0.581,0.8390000000000001,0.0,7.0,0.104,-4.843,1.0,0.229,160.12,4.0,0.447
26,00 (DOUBLE O),43.0,163279.0,0.0812,0.904,0.711,0.0,6.0,0.0842,-5.426,0.0,0.315,90.456,4.0,0.472
27,003,59.0,139521.0,0.875,0.7090000000000001,0.293,0.0454,1.0,0.103,-11.215,1.0,0.241,84.971,4.0,0.383
28,079ME,76.0,211852.0,0.404,0.629,0.601,0.0,10.0,0.0582,-7.507999999999999,0.0,0.309,199.921,4.0,0.612
29,079ME (Blinkie Remix),54.0,228240.0,0.38,0.745,0.853,0.0,10.0,0.261,-3.906,0.0,0.245,119.862,4.0,0.732
31,"1, 2, 3!",67.0,205304.0,0.00396,0.687,0.805,2.09e-06,6.0,0.12,-4.668,1.0,0.0403,142.03799999999995,4.0,0.7120000000000001
33,10 2 10,26.0,202120.0,0.15,0.632,0.908,0.0,1.0,0.207,-4.499,1.0,0.1,114.003,4.0,0.258
35,100 Shots,67.0,264818.0,0.135,0.799,0.6679999999999999,4.67e-06,8.0,0.0583,-5.244,1.0,0.249,134.005,4.0,0.153
36,100% (feat. Tony Sunshine),38.0,230146.0,0.0572,0.78,0.772,0.0,7.0,0.0819999999999999,-3.222,0.0,0.262,99.606,4.0,0.706
37,1000 (feat. T.I. & Trey Songz),41.0,254615.0,0.0118,0.64,0.602,0.0,10.0,0.192,-6.7010000000000005,0.0,0.276,82.17,4.0,0.297
38,1000hp,54.0,226540.0,4.36e-05,0.52,0.948,1.41e-05,6.0,0.0525,-3.951,0.0,0.0515,92.091,4.0,0.471
39,101,53.0,203500.0,0.0437,0.71,0.8270000000000001,1.28e-05,0.0,0.0896,-5.244,1.0,0.032,110.003,4.0,0.833
41,10:15 Saturday Night,37.0,223773.0,0.00366,0.6559999999999999,0.279,0.0282,0.0,0.0952,-17.282,1.0,0.13,174.1,4.0,0.325
44,1234,15.0,202907.0,5.320000000000001e-05,0.5579999999999999,0.953,0.000375,7.0,0.062,-4.705,1.0,0.0288,95.0,4.0,0.75
45,1412,50.0,109090.0,0.303,0.914,0.245,0.482,4.0,0.107,-9.504,0.0,0.411,87.992,4.0,0.648
46,1435,0.0,292373.0,0.0616,0.58,0.353,4.3e-05,0.0,0.128,-9.295,1.0,0.0265,141.987,4.0,0.242
48,16 Candles,41.0,172460.0,0.733,0.591,0.472,0.0,10.0,0.0987,-4.9060000000000015,1.0,0.0261,114.097,3.0,0.627
49,16 Days,36.0,234213.0,0.242,0.561,0.741,0.0,0.0,0.0874,-5.8420000000000005,1.0,0.0537,127.467,4.0,0.404
50,17,76.0,196489.0,0.00149,0.703,0.8320000000000001,0.127,0.0,0.0696,-7.202000000000001,0.0,0.0689,122.029,4.0,0.667
51,17 - 6am Remix,65.0,263887.0,0.00393,0.71,0.625,0.471,8.0,0.318,-8.331,1.0,0.0346,120.023,4.0,0.139
52,18,53.0,205370.0,0.877,0.483,0.305,6.78e-05,11.0,0.126,-8.15,0.0,0.268,79.458,4.0,0.273
54,19 You + Me - Live Acoustic Bonus Track,51.0,221706.0,0.5710000000000001,0.416,0.422,0.0,6.0,0.161,-8.11,1.0,0.0279,150.607,3.0,0.703
56,193rd St.,35.0,126352.0,0.00427,0.6409999999999999,0.6970000000000001,0.6779999999999999,10.0,0.289,-11.184,0.0,0.0477,122.042,4.0,0.35
59,1952 Vincent Black Lightning,55.0,283493.0,0.374,0.488,0.209,5.05e-06,10.0,0.103,-19.549,1.0,0.0369,120.63,4.0,0.362
60,1957,63.0,204213.0,0.6629999999999999,0.388,0.595,5.58e-05,1.0,0.178,-9.799,1.0,0.0325,190.043,4.0,0.596
61,1960 What?,22.0,747222.0,0.515,0.511,0.505,6.26e-05,3.0,0.114,-10.773,1.0,0.0421,119.292,4.0,0.622
62,1975,49.0,190360.0,0.6409999999999999,0.66,0.407,1.22e-05,2.0,0.0622,-8.993,1.0,0.0613,119.934,4.0,0.324
63,1977,42.0,204036.0,0.00448,0.6779999999999999,0.687,0.000419,2.0,0.0847,-7.206,1.0,0.0401,104.166,4.0,0.527
64,1979,36.5,274946.5,0.4159,0.728,0.5555000000000001,0.356,8.0,0.0824999999999999,-9.368,1.0,0.0303999999999999,123.5025,4.0,0.588
65,1979 - Remastered 2012,61.5,266200.0,0.0166,0.765,0.7879999999999999,0.588,3.0,0.0513,-9.896,1.0,0.0332,126.879,4.0,0.964
66,1983,51.0,222560.0,0.000105,0.47,0.978,0.0,10.0,0.0994,-3.899,1.0,0.174,153.014,4.0,0.731
67,1985,65.5,193000.0,0.000244,0.6065,0.8825000000000001,0.0,4.0,0.337,-4.413,1.0,0.06315,119.9645,4.0,0.878
68,1985 - Intro to “The Fall Off”,75.0,190176.0,0.147,0.6779999999999999,0.648,0.0,2.0,0.182,-5.892,1.0,0.445,94.336,4.0,0.635
71,1Take (Naija to London),64.0,283898.0,0.337,0.7709999999999999,0.705,0.0,8.0,0.123,-6.034,0.0,0.192,103.959,4.0,0.46
72,1Xtra,17.0,187000.0,0.0484,0.76,0.8640000000000001,0.0,8.0,0.118,-3.857,1.0,0.322,139.931,4.0,0.865
73,1am,77.0,163954.0,0.0038,0.901,0.65,0.0,2.0,0.111,-4.137,1.0,0.0981,100.298,4.0,0.295
74,1luv,15.0,283735.0,0.00105,0.455,0.805,0.603,11.0,0.101,-7.272,0.0,0.127,162.889,4.0,0.24
75,2 AM,57.0,190217.0,0.119,0.6629999999999999,0.762,0.0,0.0,0.161,-3.327,1.0,0.0435,140.04399999999998,4.0,0.321
76,2 MUCH (feat. 24hrs) (feat. 24hrs),67.0,182400.0,0.0657,0.642,0.933,1.04e-05,4.0,0.087,-2.887,0.0,0.0871,150.039,4.0,0.158
78,2 The Hard Way,38.0,174813.0,0.0244,0.653,0.596,0.0,0.0,0.135,-7.608,1.0,0.238,150.00799999999995,4.0,0.145
79,2 Tone Drip,72.0,181538.0,0.192,0.857,0.767,0.0,5.0,0.16,-4.794,0.0,0.443,149.954,4.0,0.574
81,2-4-6-8 Motorway,50.0,197933.0,0.0578,0.672,0.706,7.43e-05,9.0,0.0595,-5.551,1.0,0.0779,124.782,4.0,0.6579999999999999
83,2002 - KREAM Remix,59.0,163125.0,0.00104,0.7559999999999999,0.887,0.0126,6.0,0.118,-4.131,0.0,0.13,122.958,4.0,0.246
84,20th Century Boy - 2012 Remaster,49.0,218665.0,0.00144,0.426,0.954,0.0,9.0,0.149,-6.121,1.0,0.0474,135.30200000000002,4.0,0.721
85,21,54.0,194480.0,0.0586,0.501,0.9,0.0,11.0,0.218,-4.3660000000000005,1.0,0.0433,160.096,4.0,0.943
86,2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,53.0,1233666.0,0.0787,0.345,0.795,0.00165,2.0,0.18,-7.44,1.0,0.108,134.141,4.0,0.189
87,24 Hour Party People,5.0,279959.0,0.000281,0.631,0.861,0.000276,4.0,0.0612,-8.315,0.0,0.0514,126.647,4.0,0.818
88,24/7,61.0,221706.0,0.00241,0.615,0.74,0.00113,7.0,0.115,-4.662,0.0,0.0754,118.957,4.0,0.219
89,24K Magic,76.5,225983.0,0.034,0.818,0.8029999999999999,0.0,1.0,0.153,-4.282,1.0,0.0797,106.97,4.0,0.632
91,2Sum,40.0,145632.0,0.00914,0.833,0.459,0.0,7.0,0.0717,-7.026,1.0,0.202,138.179,4.0,0.338
93,3 x 11,43.0,219795.0,0.316,0.755,0.613,0.0,4.0,0.0935,-5.029,0.0,0.318,98.029,4.0,0.923
94,33 “GOD”,64.0,213000.0,0.83,0.52,0.389,0.0265,4.0,0.0937,-10.476,1.0,0.0403,133.113,4.0,0.326
95,3:15,76.0,167018.0,0.385,0.6509999999999999,0.654,0.0,1.0,0.181,-5.481,1.0,0.0466,141.975,4.0,0.539
96,3PM Coffee,31.0,125478.0,0.99,0.49,0.0921,0.954,3.0,0.108,-22.456,0.0,0.0435,101.538,4.0,0.118
97,4 1 Nite,45.0,205296.0,0.158,0.624,0.6779999999999999,0.0,8.0,0.376,-4.393,1.0,0.382,63.983,4.0,0.637
98,4 Days,62.0,190480.0,0.0423,0.8390000000000001,0.5720000000000001,0.0,10.0,0.0905,-5.312,0.0,0.0945,97.991,4.0,0.404
99,4 Gold Chains - (feat. Clams Casino),69.0,209106.0,0.853,0.313,0.426,0.00037,8.0,0.181,-9.049,1.0,0.0435,95.159,4.0,0.107
100,4 Lit,53.0,203833.0,0.0414,0.812,0.402,0.0,1.0,0.0998,-6.593999999999999,1.0,0.0697,85.044,4.0,0.261
101,4 Minutes (feat. Justin Timberlake & Timbaland),72.0,189693.0,0.00994,0.753,0.931,0.0069599999999999,2.0,0.234,-4.922,1.0,0.0652,113.029,4.0,0.767
102,4 [bump],53.0,64719.0,0.969,0.826,0.391,0.025,0.0,0.114,-10.978,1.0,0.498,79.139,4.0,0.813
103,40K,70.0,216842.0,0.106,0.746,0.5870000000000001,2.99e-05,7.0,0.187,-8.172,0.0,0.17,134.99200000000002,4.0,0.203
105,44 More,27.0,188613.0,0.0717,0.818,0.5720000000000001,0.0,1.0,0.101,-7.085,1.0,0.228,139.968,4.0,0.236
106,47 - Remix,70.0,517809.0,0.248,0.711,0.6990000000000001,0.0,6.0,0.254,-4.891,1.0,0.193,146.016,4.0,0.376
108,4AM In London,38.0,188664.0,0.0483,0.534,0.445,7.25e-05,7.0,0.116,-9.617,0.0,0.0351,156.01,4.0,0.0828
109,4EVER,71.0,159595.0,0.049,0.75,0.585,0.00552,9.0,0.155,-7.576,0.0,0.0285,102.331,4.0,0.584
110,4am,51.0,119870.0,0.4963,0.6114999999999999,0.4974999999999999,0.00228,5.5,0.196,-6.321,0.5,0.04255,148.0365,4.0,0.4545
111,4r Da Squaw,68.0,232571.0,0.532,0.667,0.523,2.12e-05,10.0,0.1369999999999999,-9.477,0.0,0.329,143.934,4.0,0.409
112,5 Years Time,59.0,214920.0,0.335,0.8,0.5589999999999999,0.0,0.0,0.148,-7.11,1.0,0.116,121.967,4.0,0.7879999999999999
113,500 Miles Away from Home,47.0,162506.0,0.659,0.519,0.374,6.88e-06,7.0,0.644,-13.115,1.0,0.0314,109.253,4.0,0.521
114,6 'N The Mornin',47.0,224866.0,0.00282,0.823,0.745,0.000332,5.0,0.3229999999999999,-6.6370000000000005,0.0,0.247,91.919,4.0,0.58
115,6 Beers,47.0,166228.0,0.178,0.64,0.843,0.0,10.0,0.0886,-6.6610000000000005,0.0,0.225,93.083,4.0,0.926
116,6 Degrees (feat. Fiora) - Tale Of Us Remix,17.0,473550.0,0.128,0.8009999999999999,0.472,0.381,4.0,0.103,-9.948,1.0,0.077,120.005,4.0,0.467
117,6 Underground,55.0,228840.0,0.0319,0.5870000000000001,0.6779999999999999,0.16,1.0,0.116,-8.651,0.0,0.0524,169.947,4.0,0.429
118,6:30,74.0,213000.0,0.149,0.757,0.579,0.0,1.0,0.0543,-3.827,0.0,0.0809,99.968,4.0,0.56
119,6am,53.0,123000.0,0.8,0.745,0.265,0.959,11.0,0.0717,-10.678,1.0,0.0708,88.477,4.0,0.422
120,6ix Flags,44.0,222400.0,0.0791,0.659,0.615,0.0,2.0,0.172,-9.232,1.0,0.327,149.877,4.0,0.589
121,7 Am Freestyle,0.0,192906.0,0.0185,0.951,0.401,0.0,0.0,0.149,-8.92,0.0,0.411,129.976,4.0,0.539
122,7 Days,73.0,235133.0,0.23,0.659,0.812,0.0,4.0,0.0951,-7.499,0.0,0.0487,83.01299999999998,4.0,0.888
123,7 Inches,35.0,206491.0,0.446,0.768,0.417,0.00561,9.0,0.335,-10.246,0.0,0.0494,97.985,4.0,0.417
124,7 Years,21.0,212672.5,0.5730000000000001,0.7445,0.4315,0.0,10.0,0.24425,-6.4510000000000005,1.0,0.04395,119.915,4.0,0.35
125,7/11,75.0,213506.0,0.0128,0.747,0.705,0.0,9.0,0.126,-5.1370000000000005,0.0,0.126,136.024,4.0,0.56
126,70s,49.0,164250.0,0.012,0.78,0.627,0.000347,2.0,0.106,-12.093,1.0,0.0821,111.069,4.0,0.275
127,745,64.0,227560.0,0.115,0.785,0.476,0.00165,1.0,0.092,-9.805,1.0,0.115,118.931,4.0,0.223
128,7th Inning Stretch,43.0,136500.0,0.8240000000000001,0.69,0.555,0.91,7.0,0.1689999999999999,-9.802,0.0,0.3720000000000001,160.369,4.0,0.852
