song_id,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,contains_hyphen,contains_feat,is_derived,contains_parentheses,language,num_syllables,avg_chars_per_word,num_uppercase_words,num_lowercase_words,sentiment,num_syllables_missing
2231,58,270946,0.0153,0.728,0.518,4.19e-05,11,0.103,-11.114,0,0.038,88.708,1,0.833,1,0,0,0,1,2.0,9.0,3,-2,0.0,0
18680,62,192835,0.0155,0.903,0.498,7.84e-06,8,0.105,-6.379,1,0.108,121.974,1,0.439,0,0,0,0,0,5.0,5.333333333333333,3,0,0.5,0
16908,59,237666,0.773,0.267,0.356,0.00176,8,0.1669999999999999,-12.103,1,0.0317,92.272,1,0.314,0,0,0,0,1,4.0,4.25,3,1,0.0,0
10155,60,263973,0.00205,0.7290000000000001,0.894,0.021,5,0.128,-3.494,1,0.0397,124.992,1,0.8320000000000001,0,0,0,0,0,3.496065437978878,5.0,1,0,0.0,1
18150,31,225933,0.148,0.7709999999999999,0.735,0.0,5,0.288,-9.162,0,0.116,119.983,1,0.385,0,0,0,0,0,5.0,5.333333333333333,3,0,0.0,0
16694,38,231133,0.000217,0.404,0.946,0.00168,2,0.411,-11.562,0,0.088,151.716,1,0.4370000000000001,0,0,0,0,0,2.0,8.0,1,0,0.0,0
331,14,176160,0.038,0.55,0.929,0.0,9,0.135,-5.765,1,0.0815,129.011,1,0.643,0,0,0,0,0,3.496065437978878,3.0,1,2,0.0,1
18702,86,163216,0.0476,0.752,0.764,9.44e-05,1,0.0543,-4.399,1,0.038,121.958,1,0.5820000000000001,0,0,0,0,0,3.496065437978878,4.0,1,0,0.0,1
16364,66,158573,0.877,0.611,0.479,6.5e-06,5,0.106,-8.074,0,0.117,82.366,1,0.79,0,0,0,0,1,5.0,4.8,5,0,-0.1555555555555555,0
17995,48,284213,0.0247,0.83,0.722,1.21e-06,0,0.0741,-6.099,1,0.0595,109.987,1,0.29,0,0,0,0,1,3.0,5.0,2,1,0.0,0
16790,65,256026,0.139,0.845,0.5760000000000001,0.0,11,0.0764,-5.15,0,0.153,127.641,1,0.461,0,0,0,0,0,3.0,6.333333333333333,3,0,0.0,0
9046,88,186872,0.0414,0.902,0.8190000000000001,0.0,1,0.106,-3.321,1,0.317,89.0,1,0.746,0,1,0,1,1,3.0,3.6666666666666665,5,-2,0.8,0
2724,38,187760,0.847,0.215,0.7090000000000001,0.000237,10,0.125,-7.4,1,0.0355,166.15,0,0.5529999999999999,0,0,0,0,0,3.0,6.0,1,0,0.0,0
16583,44,189440,0.389,0.516,0.628,0.0,7,0.078,-3.528,1,0.0311,176.093,1,0.622,0,0,0,0,0,4.0,8.0,1,0,0.0,0
3350,50,269490,0.732,0.7390000000000001,0.473,9.71e-05,6,0.0363,-7.872999999999998,0,0.0512,148.28,1,0.964,0,0,0,0,0,10.0,6.5,3,1,0.0,0
9502,52,183320,0.472,0.664,0.7020000000000001,0.00352,11,0.107,-8.072000000000001,1,0.188,119.852,1,0.526,0,0,0,0,0,3.496065437978878,8.0,2,0,0.0,1
3507,77,156695,0.199,0.73,0.86,0.00182,7,0.322,-3.532,1,0.191,129.952,1,0.647,0,0,0,0,0,2.0,3.5,1,1,0.0,0
2544,44,213159,0.0819,0.688,0.804,0.00813,10,0.325,-4.313,0,0.0322,119.991,1,0.742,1,0,1,0,1,9.0,5.222222222222222,14,-5,0.25,0
7740,56,255640,0.0795,0.936,0.6779999999999999,0.0,4,0.0838,-3.012,0,0.21,96.911,1,0.8220000000000001,0,0,0,0,0,3.496065437978878,1.0,0,1,0.0,1
9641,61,211533,0.0523,0.626,0.946,0.0,1,0.149,-4.644,0,0.0779,103.004,1,0.679,0,0,0,0,0,3.496065437978878,6.5,2,0,0.0,1
64,94,180000,0.346,0.638,0.7170000000000001,0.0,2,0.105,-4.722,1,0.0337,100.027,1,0.249,0,1,0,1,0,3.0,10.0,3,-2,0.85,0
6219,55,236240,0.00679,0.795,0.994,0.904,8,0.057,0.525,0,0.0483,126.023,1,0.865,0,0,0,0,0,3.496065437978878,5.0,1,0,-0.0833333333333333,1
8773,76,225483,0.299,0.8740000000000001,0.4920000000000001,0.0,9,0.0983,-7.399,0,0.0604,127.067,1,0.5870000000000001,0,1,0,1,1,4.0,9.0,4,-2,0.0,0
3449,52,192750,0.017,0.508,0.755,0.0,11,0.384,-7.606,0,0.458,106.803,0,0.5820000000000001,0,1,0,1,0,4.0,6.5,3,-1,0.0,0
12459,35,148848,0.0096,0.76,0.5760000000000001,0.00619,7,0.132,-6.792000000000002,1,0.055,100.016,1,0.7240000000000001,0,0,0,0,0,3.0,9.0,1,0,0.0,0
9892,35,218293,0.1689999999999999,0.586,0.755,0.0,10,0.0366,-3.176,1,0.079,120.119,1,0.454,0,0,0,0,0,2.0,4.5,2,0,0.0,0
3924,36,265080,0.68,0.596,0.7,0.000277,5,0.623,-4.9110000000000005,0,0.0323,133.45,1,0.926,0,0,0,0,1,5.0,3.8,4,1,0.0,0
15946,83,216933,0.227,0.6920000000000001,0.711,0.0,0,0.12,-7.497999999999998,0,0.0317,125.135,1,0.875,1,0,1,1,1,2.0,6.5,6,-4,0.35,0
17320,49,213786,0.708,0.397,0.42,8.05e-05,1,0.0568,-10.851,1,0.0351,116.591,1,0.595,0,0,0,0,1,4.0,4.5,3,1,0.0,0
11668,67,297782,0.251,0.422,0.677,3.55e-06,11,0.16,-5.76,1,0.0365,150.131,1,0.146,0,0,0,0,0,2.0,5.0,2,0,0.25,0
7589,96,196373,0.6970000000000001,0.5529999999999999,0.586,0.0,11,0.0813,-6.319,1,0.0362,126.684,1,0.443,0,0,0,0,1,3.0,5.0,2,0,0.0,0
15524,96,179404,0.088,0.931,0.387,0.0,1,0.136,-9.127,1,0.412,125.978,1,0.376,0,1,0,1,0,2.0,5.0,4,-3,0.0,0
7679,77,193700,0.258,0.867,0.7240000000000001,0.0,6,0.0527,-4.266,1,0.0978,128.97,1,0.757,0,1,0,1,0,4.0,8.0,2,-1,0.0,0
7525,64,148252,0.146,0.942,0.517,7.11e-06,7,0.118,-7.176,1,0.311,120.148,1,0.419,0,0,0,0,1,1.0,4.0,1,0,0.0,0
7409,34,278386,0.00286,0.787,0.902,0.000325,2,0.0792,-6.562,1,0.271,87.21799999999998,1,0.77,0,0,0,0,0,7.0,5.0,3,1,0.0,0
11,63,185586,0.0046,0.496,0.863,0.0,9,0.639,-4.1530000000000005,1,0.0381,110.018,1,0.243,0,0,0,0,0,1.0,4.0,1,0,-0.6,0
